osm_id,ward_number,name_nepali,name_english,municipality,admin_level,wikidata_id
15989007,03,Bhimdatta-03,N/A,N/A,9,N/A
16022374,1,Kankai-01,N/A,N/A,9,N/A
7706320,1,Temal-01,N/A,N/A,9,N/A
15989471,1,Bedkot-01,N/A,N/A,9,N/A
16030138,1,Geruwa-01,N/A,N/A,9,N/A
16094444,1,Putalibazar-01,N/A,N/A,9,N/A
5809568,1,Baglung-01,N/A,N/A,9,N/A
16139764,1,Gadhimai-01,N/A,N/A,9,N/A
7706503,1,Mandandeupur-01,N/A,N/A,9,N/A
15989368,1,गढवा-०१,Gadhawa-01,N/A,9,N/A
5810676,1,Bareng-01,N/A,N/A,9,N/A
15989107,1,राजपुर-०१,Rajpur-01,N/A,9,N/A
16101813,1,Rubi Valley-01,N/A,N/A,9,N/A
16140237,1,Garuda-01,N/A,N/A,9,N/A
16121170,1,Dhulikhel-01,N/A,N/A,9,N/A
15989055,1,Mahakali-01,N/A,N/A,9,N/A
5810745,1,Galkot-01,N/A,N/A,9,N/A
6443394,1,Chhipahrmai-01,N/A,N/A,9,N/A
5810795,1,Tarakhola-01,N/A,N/A,9,N/A
6443364,1,Dhobini-01,N/A,N/A,9,N/A
5810797,1,Kanthekhola.01,N/A,N/A,9,N/A
7708735,1,Paunauti-01,N/A,N/A,9,N/A
16173058,1,Bardaghat Susta-01,N/A,N/A,9,N/A
16094679,1,Harinas-01,N/A,N/A,9,N/A
7704779,1,Bhumlu-01,N/A,N/A,9,N/A
5807288,1,Jaimuni-01,N/A,N/A,9,N/A
7692266,1,Tinpatan-01,N/A,N/A,9,N/A
16101852,1,Khaniyabash-01,N/A,N/A,9,N/A
7696485,1,Ghanglekh-01,N/A,N/A,9,N/A
7697084,1,Hariharpurgadhi-01,N/A,N/A,9,N/A
15990010,1,Beldandi-01,N/A,N/A,9,N/A
16146757,1,Gaushala-01,N/A,N/A,9,N/A
15989942,1,Laljhadi-01,N/A,N/A,9,N/A
5805859,1,Painyu-01,N/A,N/A,9,N/A
15989912,1,Krishnapur-01,N/A,N/A,9,N/A
16029677,1,Barahaksetra-01,N/A,N/A,9,N/A
5805873,1,Mahashila-01,N/A,N/A,9,N/A
5806825,1,Bihadi-01,N/A,N/A,9,N/A
16146712,1,Sonama-01,N/A,N/A,9,N/A
15989632,1,Shuklaphanta-01,N/A,N/A,9,N/A
7701746,1,Chaunri Deurali-01,N/A,N/A,9,N/A
16030134,1,Rajapur-01,N/A,N/A,9,N/A
16101837,1,Gangajamuna-01,N/A,N/A,9,N/A
16062067,1,Tribeni Nalagad-07,N/A,N/A,9,N/A
16139732,1,Dewahhi Gonahi-01,N/A,N/A,9,N/A
6639088,1,Pakaha Mainpur-01,N/A,N/A,9,N/A
6638304,1,Kalikamai-01,N/A,N/A,9,N/A
16145967,1,Bagmati-01,N/A,N/A,9,N/A
16140496,1,Katahariya-01,N/A,N/A,9,N/A
16145877,1,Hariwan-01,N/A,N/A,9,N/A
7711350,1,Roshi-01,N/A,N/A,9,N/A
7715514,1,Suryabinayak-01,N/A,N/A,9,N/A
15986021,1,Parashuram-01,N/A,N/A,9,N/A
7915861,1,Nepalgunj-01,N/A,N/A,9,N/A
5821017,1,Mudchekula-01,N/A,N/A,9,N/A
16126954,1,Bakaiya-01,N/A,N/A,9,N/A
16140586,1,Phatuwa Bijayapur-01,N/A,N/A,9,N/A
16056087,1,Thantikandh-01,N/A,N/A,9,N/A
9923573,1,Kamalamai-01,N/A,N/A,9,N/A
16055987,1,Aathabis-01,N/A,N/A,9,N/A
16100417,1,Madhyabindu-01,N/A,N/A,9,N/A
5830162,1,Sisne-01,N/A,N/A,9,N/A
5830188,1,Aathbiskot-01,N/A,N/A,9,N/A
16031205,1,Inaruwa-01,N/A,N/A,9,N/A
15985795,1,शान्तिनगर-०१,Shantinagar-01,N/A,9,N/A
16140605,1,Gujara-01,N/A,N/A,9,N/A
5834452,1,Banfikot-01,N/A,N/A,9,N/A
15985789,1,दङ्गीशरण-०१,Dangisharan-01,N/A,9,N/A
16113977,1,Bhaktapur-01,N/A,N/A,9,N/A
16031242,1,Bhokraha-01,N/A,N/A,9,N/A
15985610,1,Ganayapdhura-01,N/A,N/A,9,N/A
15985987,1,Alital-01,N/A,N/A,9,N/A
15986848,1,Adharsha-01,N/A,N/A,9,N/A
